Year,Code,Economy,Grp,GTMI,GT1,CGSI,GT2,PSDI,GT3,DCEI,GT4,GTEI
2022,AFG,Afghanistan,C,0.354,C,0.415,B,0.547,D,0.131,C,0.322
2022,ALB,Albania,A,0.752,B,0.707,A,0.857,B,0.735,B,0.709
2022,DZA,Algeria,B,0.502,C,0.493,B,0.689,C,0.309,B,0.516
2022,AND,Andorra,C,0.253,D,0.196,B,0.555,D,0.041,D,0.220
2022,AGO,Angola,C,0.447,C,0.436,B,0.565,D,0.221,B,0.566
2022,ATG,Antigua and Barbuda,C,0.348,C,0.466,B,0.549,D,0.046,C,0.331
2022,ARG,Argentina,A,0.759,A,0.756,A,0.890,B,0.741,B,0.650
2022,ARM,Armenia,B,0.722,B,0.705,A,0.846,B,0.706,B,0.631
2022,AUS,Australia,A,0.811,A,0.836,A,0.784,A,0.815,A,0.810
2022,AUT,Austria,A,0.892,A,0.892,A,0.977,A,0.810,A,0.892
2022,AZE,Azerbaijan,A,0.775,B,0.694,A,0.935,A,0.841,B,0.629
2022,BHS,Bahamas,C,0.487,B,0.560,A,0.878,D,0.172,C,0.339
2022,BHR,Bahrain,A,0.828,B,0.740,A,0.796,A,0.920,A,0.857
2022,BGD,Bangladesh,A,0.845,A,0.915,B,0.707,A,0.837,A,0.920
2022,BRB,Barbados,C,0.355,C,0.386,B,0.679,D,0.044,C,0.310
2022,BLR,Belarus,C,0.407,B,0.523,B,0.635,D,0.167,C,0.302
2022,BEL,Belgium,A,0.804,A,0.800,A,0.944,B,0.692,A,0.777
2022,BLZ,Belize,C,0.331,C,0.410,B,0.561,D,0.023,C,0.331
2022,BEN,Benin,B,0.678,B,0.645,A,0.804,B,0.597,B,0.667
2022,BTN,Bhutan,B,0.595,A,0.812,B,0.720,C,0.317,B,0.531
2022,BOL,Bolivia,B,0.531,B,0.658,A,0.823,C,0.292,C,0.352
2022,BIH,Bosnia and Herzegovina,C,0.271,C,0.464,C,0.285,D,0.160,D,0.176
2022,BWA,Botswana,C,0.369,B,0.554,B,0.522,D,0.138,C,0.261
2022,BRA,Brazil,A,0.975,A,0.980,A,0.969,A,0.970,A,0.981
2022,BRN,Brunei Darussalam,B,0.655,B,0.552,A,0.840,B,0.621,B,0.607
2022,BGR,Bulgaria,B,0.681,B,0.702,A,0.845,C,0.467,B,0.712
2022,BFA,Burkina Faso,B,0.639,B,0.581,B,0.514,A,0.805,B,0.656
2022,BDI,Burundi,C,0.414,C,0.414,B,0.632,C,0.432,D,0.176
2022,CPV,Cabo Verde,A,0.822,A,0.910,A,0.786,A,0.826,A,0.766
2022,KHM,Cambodia,B,0.584,B,0.701,B,0.719,C,0.325,B,0.592
2022,CMR,Cameroon,C,0.392,C,0.421,C,0.492,C,0.352,C,0.301
2022,CAN,Canada,A,0.769,A,0.769,A,0.856,A,0.779,B,0.672
2022,CAF,Central African Republic,D,0.171,D,0.214,D,0.215,D,0.134,D,0.121
2022,TCD,Chad,D,0.179,C,0.273,D,0.032,D,0.154,C,0.258
2022,CHL,Chile,A,0.754,A,0.772,A,0.834,B,0.682,B,0.729
2022,CHN,China,B,0.665,B,0.581,A,0.841,B,0.627,B,0.611
2022,COL,Colombia,A,0.864,A,0.911,A,0.883,A,0.932,B,0.730
2022,COM,Comoros,C,0.262,C,0.378,D,0.140,D,0.203,C,0.328
2022,COD,Congo Dem. Rep.,C,0.299,C,0.351,C,0.251,C,0.330,C,0.263
2022,COG,Congo Rep.,D,0.165,C,0.274,D,0.154,D,0.026,D,0.206
2022,CRI,Costa Rica,B,0.512,B,0.661,B,0.575,C,0.318,C,0.493
2022,CIV,Côte d'Ivoire,C,0.459,C,0.371,B,0.573,C,0.390,B,0.501
2022,HRV,Croatia,A,0.761,A,0.834,A,0.857,B,0.668,B,0.684
2022,CUB,Cuba,C,0.336,C,0.288,C,0.367,C,0.272,C,0.417
2022,CYP,Cyprus,B,0.720,B,0.688,A,0.882,C,0.459,A,0.853
2022,CZE,Czech Republic,A,0.790,A,0.842,A,0.830,B,0.635,A,0.850
2022,DNK,Denmark,A,0.874,A,0.775,A,0.978,A,0.932,A,0.809
2022,DJI,Djibouti,C,0.274,C,0.349,C,0.293,D,0.132,C,0.322
2022,DMA,Dominica,C,0.296,C,0.404,C,0.491,D,0.010,C,0.281
2022,DOM,Dominican Republic,A,0.867,A,0.844,A,0.917,A,0.940,A,0.767
2022,ECU,Ecuador,A,0.863,A,0.870,A,0.924,A,0.912,B,0.744
2022,EGY,Egypt,A,0.751,A,0.783,A,0.795,B,0.626,A,0.802
2022,SLV,El Salvador,A,0.767,B,0.738,A,0.938,A,0.764,B,0.628
2022,GNQ,Equatorial Guinea,D,0.093,D,0.064,D,0.119,D,0.118,D,0.071
2022,ERI,Eritrea,D,0.049,D,0.058,D,0.000,D,0.103,D,0.037
2022,EST,Estonia,A,0.956,A,0.910,A,1.000,A,0.998,A,0.916
2022,SWZ,Eswatini,C,0.394,B,0.511,C,0.353,C,0.319,C,0.391
2022,ETH,Ethiopia,B,0.580,C,0.483,A,0.825,C,0.443,B,0.570
2022,FJI,Fiji,B,0.574,B,0.704,B,0.648,C,0.357,B,0.588
